,ds,location,Area_Marla,bedrooms,bathrooms,yhat
352,2023-01-28,"D-12, Islamabad",4.4,4,4,31964785.47705372
353,2023-01-29,"D-12, Islamabad",4.4,4,4,31980616.04628086
354,2023-01-30,"D-12, Islamabad",4.4,4,4,36035266.61009342
355,2023-01-31,"D-12, Islamabad",4.4,4,4,39256133.9723215
356,2023-02-01,"D-12, Islamabad",4.4,4,4,32028107.428769413
357,2023-02-02,"D-12, Islamabad",4.4,4,4,37248857.577025406
358,2023-02-03,"D-12, Islamabad",4.4,4,4,33561750.61400697
359,2023-02-04,"D-12, Islamabad",4.4,4,4,32075598.99047932
360,2023-02-05,"D-12, Islamabad",4.4,4,4,32091429.55968781
361,2023-02-06,"D-12, Islamabad",4.4,4,4,36146080.123509355
362,2023-02-07,"D-12, Islamabad",4.4,4,4,39366947.48574104
363,2023-02-08,"D-12, Islamabad",4.4,4,4,32138920.94218626
364,2023-02-09,"D-12, Islamabad",4.4,4,4,37359671.09044195
365,2023-02-10,"D-12, Islamabad",4.4,4,4,33672564.127412505
366,2023-02-11,"D-12, Islamabad",4.4,4,4,32186412.50387447
367,2023-02-12,"D-12, Islamabad",4.4,4,4,32202243.073092774
368,2023-02-13,"D-12, Islamabad",4.4,4,4,36256893.63692528
369,2023-02-14,"D-12, Islamabad",4.4,4,4,39477760.99915698
370,2023-02-15,"D-12, Islamabad",4.4,4,4,32249734.455598533
371,2023-02-16,"D-12, Islamabad",4.4,4,4,37470484.60386344
372,2023-02-17,"D-12, Islamabad",4.4,4,4,33783377.64084042
373,2021-03-17,"D-12, Islamabad",5.0,5,5,29597653.88599687
374,2021-09-17,"D-12, Islamabad",5.0,5,5,34469984.42780818
375,2021-11-17,"D-12, Islamabad",5.0,5,5,33855000.16255006
376,2022-01-27,"D-12, Islamabad",5.0,5,5,34612059.75924917
377,2022-02-03,"D-12, Islamabad",5.0,5,5,34637998.686943725
378,2022-02-11,"D-12, Islamabad",5.0,5,5,35014781.25347997
379,2022-02-12,"D-12, Islamabad",5.0,5,5,34999873.33144076
380,2022-02-14,"D-12, Islamabad",5.0,5,5,36428298.94341784
381,2022-02-15,"D-12, Islamabad",5.0,5,5,35499899.88535892
382,2022-02-16,"D-12, Islamabad",5.0,5,5,34192206.21494368
